created_at	entities	source	public_metrics	id	text	author_id
2022-01-08 10:25:58+00:00	{'mentions': [{'start': 3, 'end': 19, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 93, 'end': 99, 'username': 'SkyUK', 'id': '20139563'}, {'start': 106, 'end': 120, 'username': 'MoneySupermkt', 'id': '15232850'}]}	Twitter Web App	{'retweet_count': 29, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479761287710130176	RT @StopFundingHate: Amid a deadly ongoing pandemic, is this really the kind of message that @SkyUK &amp; @MoneySupermkt want to be associated…	754604381048344576
2022-01-08 12:18:12+00:00	{'mentions': [{'start': 3, 'end': 15, 'username': 'EC_magazine', 'id': '65065882'}]}	Twitter for Android	{'retweet_count': 13, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479789531784171520	"RT @EC_magazine: Adverts are a big part of media outlets revenue, with some using it to fund spreading divisive narratives in society.

Fin…"	754604381048344576
2022-01-08 13:26:07+00:00	{'mentions': [{'start': 3, 'end': 12, 'username': 'mimmymum', 'id': '33031294'}], 'annotations': [{'start': 18, 'end': 20, 'probability': 0.8303, 'type': 'Organization', 'normalized_text': 'BBC'}]}	Twitter for Android	{'retweet_count': 139, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479806625573711874	"RT @mimmymum: The BBC had 3 of the top 6 most engaged with online content on ‘trans’ topics in the last year.

All 3 of the stories framed…"	754604381048344576
2022-01-08 14:00:03+00:00	{'mentions': [{'start': 3, 'end': 12, 'username': 'mimmymum', 'id': '33031294'}], 'annotations': [{'start': 27, 'end': 29, 'probability': 0.903, 'type': 'Organization', 'normalized_text': 'BBC'}, {'start': 132, 'end': 137, 'probability': 0.9961, 'type': 'Place', 'normalized_text': 'Brazil'}]}	Twitter for Android	{'retweet_count': 21, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479815166552330246	RT @mimmymum: In fact, the BBC actively translated its transphobic article calling trans women sexual predators and published it in Brazil…	754604381048344576
2022-01-08 14:01:39+00:00	{'mentions': [{'start': 3, 'end': 18, 'username': 'natachakennedy', 'id': '17234816'}], 'annotations': [{'start': 24, 'end': 25, 'probability': 0.7547, 'type': 'Place', 'normalized_text': 'UK'}, {'start': 49, 'end': 51, 'probability': 0.8379, 'type': 'Organization', 'normalized_text': 'BBC'}]}	Twitter for Android	{'retweet_count': 22, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479815565342564359	RT @natachakennedy: The UK media, especially the BBC is institutionally transphobic &amp; publicises unevidenced hate-mongering as though it's…	754604381048344576
2022-01-08 14:01:41+00:00	{'mentions': [{'start': 3, 'end': 18, 'username': 'natachakennedy', 'id': '17234816'}, {'start': 81, 'end': 85, 'username': 'BBC', 'id': '19701628'}], 'hashtags': [{'start': 40, 'end': 46, 'tag': 'trans'}, {'start': 114, 'end': 133, 'tag': 'TransRightsProtest'}]}	Twitter for Android	{'retweet_count': 15, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479815577506095106	RT @natachakennedy: This is why so many #trans people are protesting outside the @BBC despite the rain in today's #TransRightsProtest. http…	754604381048344576
2022-01-08 14:02:44+00:00	{'mentions': [{'start': 3, 'end': 12, 'username': 'mimmymum', 'id': '33031294'}], 'annotations': [{'start': 50, 'end': 65, 'probability': 0.5933, 'type': 'Organization', 'normalized_text': 'BBC & Daily Mail'}, {'start': 113, 'end': 114, 'probability': 0.958, 'type': 'Place', 'normalized_text': 'UK'}]}	Twitter for Android	{'retweet_count': 13, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479815838668570628	RT @mimmymum: The trans-hostile articles that the BBC &amp; Daily Mail publish don’t just impact trans people in the UK. They are international…	754604381048344576
2022-01-08 14:12:37+00:00	{'mentions': [{'start': 3, 'end': 16, 'username': 'LaCrecerelle', 'id': '938731613898395648'}], 'urls': [{'start': 65, 'end': 88, 'url': 'https://t.co/0ahoRjIFlz', 'expanded_url': 'https://twitter.com/LaCrecerelle/status/1479816098010779650/photo/1', 'display_url': 'pic.twitter.com/0ahoRjIFlz'}], 'hashtags': [{'start': 18, 'end': 37, 'tag': 'transrightsprotest'}, {'start': 38, 'end': 64, 'tag': 'transrightsarehumanrights'}]}	Twitter for Android	{'retweet_count': 101, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479818327971278854	RT @LaCrecerelle: #transrightsprotest #transrightsarehumanrights https://t.co/0ahoRjIFlz	754604381048344576
2022-01-08 14:16:53+00:00	{'mentions': [{'start': 3, 'end': 18, 'username': 'Cookie__Sophie', 'id': '2768629498'}, {'start': 37, 'end': 51, 'username': 'progynovadose', 'id': '1290047962962329600'}], 'urls': [{'start': 99, 'end': 122, 'url': 'https://t.co/PXEyCxXZfE', 'expanded_url': 'https://twitter.com/Cookie__Sophie/status/1479815139964686338/video/1', 'display_url': 'pic.twitter.com/PXEyCxXZfE'}], 'hashtags': [{'start': 75, 'end': 94, 'tag': 'transrightsprotest'}], 'annotations': [{'start': 28, 'end': 32, 'probability': 0.7166, 'type': 'Person', 'normalized_text': 'Raina'}]}	Twitter for Android	{'retweet_count': 70, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479819398936469506	RT @Cookie__Sophie: Here is Raina's (@progynovadose) speech at the protest #transrightsprotest 1/2 https://t.co/PXEyCxXZfE	754604381048344576
2022-01-08 16:45:15+00:00	{'mentions': [{'start': 3, 'end': 14, 'username': 'LaurakBuzz', 'id': '509274630'}], 'annotations': [{'start': 35, 'end': 37, 'probability': 0.5834, 'type': 'Organization', 'normalized_text': 'BBC'}]}	Twitter for Android	{'retweet_count': 559, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	1479856738035712000	"RT @LaurakBuzz: Today, outside the BBC! 

Trans folks will not be ignored."	754604381048344576
